"Tool_Name","Type","Owner","Link"
"Child Health Profiles","Web Tool","OHID","https://fingertips.phe.org.uk/profile/child-health-profiles"
"Early Years Outcome Dashboard","Rshiny Tool","DfE","https://department-for-education.shinyapps.io/smapey-dashboard/"
"Childrenâ€™s social care providers: Five-Year Ofsted Inspection Data","ODS","Ofsted","https://www.gov.uk/government/publications/five-year-ofsted-inspection-data"
"High Needs Dashboard","Excel Tool","DfE","https://www.gov.uk/government/publications/high-needs-benchmarking-tool"
"Level 2 and 3 Attainment by 19 Dashboard","Rshiny Tool","DfE","https://department-for-education.shinyapps.io/attainment-age-19/"
"Local Authority School Places Scorecards","Rshiny Tool","DfE","https://department-for-education.shinyapps.io/la-school-places-scorecards/?_inputs_&navlistPanel=%22Homepage%22&tabs=%22quantity%22&tabs_tech_notes=%22Quantity%22&cookies-cookie_accept=0&cookies-cookie_reject=0&cookies-cookie_link=0&linklascorecardsTab=0&linkQuantityTab=0&linkForecastTab=0&linkPreferenceTab=0&linkQualityTab=0&linkCostTab=0&linkTechnicalnotesTab=0&cookie_consent_clear=0&LA_choice=%22England%22&phase_choice=%22Primary%22&selectBenchLAs=null&selectBenchLAspref=null&chart_choice=%22Ofsted%20Rating%22&selectBenchLAsquality=null"
"NEET and Participation LA Scorecards","Rshiny Tool","DfE","https://department-for-education.shinyapps.io/neet-comparative-la-scorecard/"
"Public Health Outcomes Framework","Web Tool","OHID","https://fingertips.phe.org.uk/profile/public-health-outcomes-framework"
"School Performance Tables","Web Tool","DfE","https://www.gov.uk/school-performance-tables"
"Children's Social Care Dashboard","Rshiny Tool","DfE","https://www.gov.uk/government/publications/childrens-social-care-dashboard"
